Unnamed: 0,TokenName,TokenIDs,Bereich,From Data,Total Scans
0,ProductionCircles,klTokenProductionCircles,Natur,23.Sep.2020,2913
1,Products,klTokenProducts,Natur,23.Sep.2020,3198
2,Materials,klTokenMaterials,Natur,23.Sep.2020,4140
3,NewMedicine,nlTokenNewMedicine,Natur,23.Sep.2020,3149
4,Bioinspiration,nlTokenBioinspiration,Natur,23.Sep.2020,3047
5,Insects,nlTokenInsects,Natur,23.Sep.2020,2957
6,Organisms,nlTokenOrganisms,Natur,23.Sep.2020,3214
7,EnergySystems,neTokenEnergySystems,Natur,23.Sep.2020,2827
8,WaterInCities,knTokenWaterInCities,Natur,23.Sep.2020,2306
9,GreenCity,knTokenGreenCity,Natur,23.Sep.2020,3919
10,Farming,knTokenFarming,Natur,23.Sep.2020,3433
11,Construction,knTokenConstruction,Natur,23.Sep.2020,3358
12,StatusQuo,enTokenStatusQuo,Mensch,23.Sep.2020,2730
13,PigDog,enTokenPigDog,Mensch,23.Sep.2020,1104
14,Solutions,enTokenSolutions,Mensch,23.Sep.2020,1404
15,City,koTokenCity,Mensch,23.Sep.2020,1963
16,Economy,koTokenEconomy,Mensch,23.Sep.2020,1822
17,Energy,reTokenEnergy,Mensch,23.Sep.2020,1813
18,Supply,reTokenSupply,Mensch,23.Sep.2020,2280
19,Production,reTokenProduction,Mensch,23.Sep.2020,2345
20,SlowMovement,zwTokenSlowMovement,Mensch,23.Sep.2020,1893
21,ClimateEngineering,nkTokenClimateEngineering,Technik,23.Sep.2020,2582
22,Carbon,nkTokenCarbon,Technik,23.Sep.2020,2088
23,NanoRacer,nkTokenNanoRacer,Technik,23.Sep.2020,1943
24,Graphen,nkTokenGraphen,Technik,23.Sep.2020,2439
25,EngineeredFood,nkTokenEngineeredFood,Technik,23.Sep.2020,3083
26,Creations,nkTokenCreations,Technik,23.Sep.2020,2006
27,NuclearFusion,eeTokenNuclearFusion,Technik,23.Sep.2020,2721
28,SolarSpace,eeTokenSolarSpace,Technik,23.Sep.2020,2592
29,NuclearEnergy,eeTokenNuclearEnergy,Technik,23.Sep.2020,2023
30,SmartDistricts,suTokenSmartDistricts,Technik,23.Sep.2020,3253
31,FutureShopping,suTokenFutureShopping,Technik,23.Sep.2020,2608
32,VirtualProduction,suTokenVirtualProduction,Technik,23.Sep.2020,2617
33,MediRobots,mmTokenMediRobots,Technik,23.Sep.2020,2865
34,Workplace,mmTokenWorkplace,Technik,23.Sep.2020,3866
35,Cyborgs,mmTokenCyborgs,Technik,23.Sep.2020,3531
36,Bci,mmTokenBci,Technik,23.Sep.2020,2976
37,GeneticsDetails,gtTokenGeneticsDetails,Technik,23.Sep.2020,3649
38,Genetics1,gtTokenGenetics1,Genetic,23.Sep.2020,9603
39,Genetics2,gtTokenGenetics2,Genetic,23.Sep.2020,8226
40,Genetics3,gtTokenGenetics3,Genetic,23.Sep.2020,7876
41,Genetics4,gtTokenGenetics4,Genetic,23.Sep.2020,8517
42,Genetics0,gtTokenGenetics0,Genetic,23.Sep.2020,14445
43,FutureMachine,gaTokenFutureMachine,Galerie,23.Sep.2020,10027
