Unnamed: 0,Base ID,Bereich,Question Names,From Date,Answer A,Answer B,Answer C
0,klTokenVote,Natur,Muellwandler,23.Sep.2020,904,1388,3745
1,nlTokenVote,Natur,Chaos zu Hause,23.Sep.2020,1664,2263,1774
2,neTokenVote,Natur,Windkraftanlagen,23.Sep.2020,1678,2017,2742
3,knTokenVote,Natur,Schafe auf dem Dach,23.Sep.2020,3657,1179,920
4,enTokenVote,Mensch,Iconen des Konsums,23.Sep.2020,1666,2033,831
5,koTokenVote,Mensch,Smartin,23.Sep.2020,946,1594,910
6,reTokenVote,Mensch,Nicht Regional,23.Sep.2020,2061,2531,1171
7,zwTokenVote,Mensch,Zeitbank,23.Sep.2020,1338,1099,567
8,nkTokenVote,Technik,Zahn-O-Bots,23.Sep.2020,1823,2667,1090
9,eeTokenVote,Technik,Reiseziel: E-Dorado,23.Sep.2020,1255,1211,2533
10,suTokenVote,Technik,Digitale Nachlass,23.Sep.2020,1643,2559,2192
11,mmTokenVote,Technik,Robert 8.0,23.Sep.2020,2167,2546,1381
12,gtTokenVote,Technik,Genetische Partner,23.Sep.2020,1795,2232,3205
